"ID","FIXED_ACIDITY","VOLATILE_ACIDITY","CITRIC_ACID","RESIDUAL_SUGAR","CHLORIDES","FREE_SULFUR_DIOXIDE","TOTAL_SULFUR_DIOXIDE","DENSITY","PH","SULPHATES","ALCOHOL","QUALITY"
1,3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,"1"
2,3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,"1"
3,4.2,0.17,0.36,1.8,0.029,93,161,0.98999,3.65,0.89,12,"1"
4,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,"0"
5,4.4,0.32,0.39,4.3,0.03,31,127,0.98904,3.46,0.36,12.8,"1"
6,4.4,0.46,0.1,2.8,0.024,31,111,0.98816,3.48,0.34,13.1,"1"
7,4.4,0.54,0.09,5.1,0.038,52,97,0.99022,3.41,0.4,12.2,"1"
8,4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,"0"
9,4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,"0"
10,4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,"1"
11,4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,"0"
12,4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,"1"
13,4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,"0"
14,4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,"1"
15,4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,"1"
16,4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,"1"
17,4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,"1"
18,4.8,0.225,0.38,1.2,0.074,47,130,0.99132,3.31,0.4,10.3,"1"
19,4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,"1"
20,4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,"1"
21,4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,"0"
22,4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,"1"
23,4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,"0"
24,4.9,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,"1"
25,4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14,"1"
26,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,"0"
27,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,"0"
28,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,"0"
29,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,"0"
30,4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,"1"
31,5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,"1"
32,5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,"1"
33,5,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,"1"
34,5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10,"0"
35,5,0.24,0.21,2.2,0.039,31,100,0.99098,3.69,0.62,11.7,"1"
36,5,0.24,0.34,1.1,0.034,49,158,0.98774,3.32,0.32,13.1,"1"
37,5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,"1"
38,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,"1"
39,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,"1"
40,5,0.27,0.4,1.2,0.076,42,124,0.99204,3.32,0.47,10.1,"1"
41,5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,"1"
42,5,0.3,0.33,3.7,0.03,54,173,0.9887,3.36,0.3,13,"1"
43,5,0.31,0,6.4,0.046,43,166,0.994,3.3,0.63,9.9,"1"
44,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,"1"
45,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,"1"
46,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,"1"
47,5,0.33,0.18,4.6,0.032,40,124,0.99114,3.18,0.4,11,"1"
48,5,0.33,0.23,11.8,0.03,23,158,0.99322,3.41,0.64,11.8,"1"
49,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,"1"
50,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,"1"
51,5,0.44,0.04,18.6,0.039,38,128,0.9985,3.37,0.57,10.2,"1"
52,5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,"1"
53,5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,"1"
54,5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,"0"
55,5.1,0.11,0.32,1.6,0.028,12,90,0.99008,3.57,0.52,12.2,"1"
56,5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,"1"
57,5.1,0.165,0.22,5.7,0.047,42,146,0.9934,3.18,0.55,9.9,"1"
