usage_id,category_id,hours_used,maintenance_cost
1,1,1,100
2,2,2,200
3,3,3,300
4,4,4,400
5,1,5,500
6,2,6,100
7,3,7,200
8,4,8,300
9,1,1,400
10,2,2,500
11,3,3,100
12,4,4,200
13,1,5,300
14,2,6,400
15,3,7,500
16,4,8,100
17,1,1,200
18,2,2,300
19,3,3,400
20,4,4,500
21,1,5,100
22,2,6,200
23,3,7,300
24,4,8,400
25,1,1,500
26,2,2,100
27,3,3,200
28,4,4,300
29,1,5,400
30,2,6,500
31,3,7,100
32,4,8,200
33,1,1,300
34,2,2,400
35,3,3,500
36,4,4,100
37,1,5,200
38,2,6,300
39,3,7,400
40,4,8,500
41,1,1,100
42,2,2,200
43,3,3,300
44,4,4,400
45,1,5,500
46,2,6,100
47,3,7,200
48,4,8,300
49,1,1,400
50,2,2,500
51,3,3,100
52,4,4,200
53,1,5,300
54,2,6,400
55,3,7,500
56,4,8,100
57,1,1,200
58,2,2,300
59,3,3,400
60,4,4,500
61,1,5,100
62,2,6,200
63,3,7,300
64,4,8,400
65,1,1,500
66,2,2,100
67,3,3,200
68,4,4,300
69,1,5,400
70,2,6,500
71,3,7,100
72,4,8,200
73,1,1,300
74,2,2,400
75,3,3,500
76,4,4,100
77,1,5,200
78,2,6,300
79,3,7,400
80,4,8,500
81,1,1,100
82,2,2,200
83,3,3,300
84,4,4,400
85,1,5,500
86,2,6,100
87,3,7,200
88,4,8,300
89,1,1,400
90,2,2,500
91,3,3,100
92,4,4,200
93,1,5,300
94,2,6,400
95,3,7,500
96,4,8,100
97,1,1,200
98,2,2,300
99,3,3,400
100,4,4,500
101,1,5,100
102,2,6,200
103,3,7,300
104,4,8,400
105,1,1,500
106,2,2,100
107,3,3,200
108,4,4,300
109,1,5,400
110,2,6,500
111,3,7,100
112,4,8,200
113,1,1,300
114,2,2,400
115,3,3,500
116,4,4,100
117,1,5,200
118,2,6,300
119,3,7,400
120,4,8,500
121,1,1,100
122,2,2,200
123,3,3,300
124,4,4,400
125,1,5,500
126,2,6,100
127,3,7,200
128,4,8,300
129,1,1,400
130,2,2,500
131,3,3,100
132,4,4,200
133,1,5,300
134,2,6,400
135,3,7,500
136,4,8,100
137,1,1,200
138,2,2,300
139,3,3,400
140,4,4,500
141,1,5,100
142,2,6,200
143,3,7,300
144,4,8,400
145,1,1,500
146,2,2,100
147,3,3,200
148,4,4,300
149,1,5,400
150,2,6,500
151,3,7,100
152,4,8,200
153,1,1,300
154,2,2,400
155,3,3,500
156,4,4,100
157,1,5,200
158,2,6,300
159,3,7,400
160,4,8,500
161,1,1,100
162,2,2,200
163,3,3,300
164,4,4,400
165,1,5,500
166,2,6,100
167,3,7,200
168,4,8,300
169,1,1,400
170,2,2,500
171,3,3,100
172,4,4,200
173,1,5,300
174,2,6,400
175,3,7,500
176,4,8,100
177,1,1,200
178,2,2,300
179,3,3,400
180,4,4,500
181,1,5,100
182,2,6,200
183,3,7,300
184,4,8,400
185,1,1,500
186,2,2,100
187,3,3,200
188,4,4,300
189,1,5,400
190,2,6,500
191,3,7,100
192,4,8,200
193,1,1,300
194,2,2,400
195,3,3,500
196,4,4,100
197,1,5,200
198,2,6,300
199,3,7,400
200,4,8,500
201,1,1,100
202,2,2,200
203,3,3,300
204,4,4,400
205,1,5,500
206,2,6,100
207,3,7,200
208,4,8,300
209,1,1,400
210,2,2,500
211,3,3,100
212,4,4,200
213,1,5,300
214,2,6,400
215,3,7,500
216,4,8,100
217,1,1,200
218,2,2,300
219,3,3,400
220,4,4,500
221,1,5,100
222,2,6,200
223,3,7,300
224,4,8,400
225,1,1,500
226,2,2,100
227,3,3,200
228,4,4,300
229,1,5,400
230,2,6,500
231,3,7,100
232,4,8,200
233,1,1,300
234,2,2,400
235,3,3,500
236,4,4,100
237,1,5,200
238,2,6,300
239,3,7,400
240,4,8,500
241,1,1,100
242,2,2,200
243,3,3,300
244,4,4,400
245,1,5,500
246,2,6,100
247,3,7,200
248,4,8,300
249,1,1,400
250,2,2,500
251,3,3,100
252,4,4,200
253,1,5,300
254,2,6,400
255,3,7,500
256,4,8,100
257,1,1,200
258,2,2,300
259,3,3,400
260,4,4,500
261,1,5,100
262,2,6,200
263,3,7,300
264,4,8,400
265,1,1,500
266,2,2,100
267,3,3,200
268,4,4,300
269,1,5,400
270,2,6,500
271,3,7,100
272,4,8,200
273,1,1,300
274,2,2,400
275,3,3,500
276,4,4,100
277,1,5,200
278,2,6,300
279,3,7,400
280,4,8,500
281,1,1,100
282,2,2,200
283,3,3,300
284,4,4,400
285,1,5,500
286,2,6,100
287,3,7,200
288,4,8,300
289,1,1,400
290,2,2,500
291,3,3,100
292,4,4,200
293,1,5,300
294,2,6,400
295,3,7,500
296,4,8,100
297,1,1,200
298,2,2,300
299,3,3,400
300,4,4,500
301,1,5,100
302,2,6,200
303,3,7,300
304,4,8,400
305,1,1,500
306,2,2,100
307,3,3,200
308,4,4,300
309,1,5,400
310,2,6,500
311,3,7,100
312,4,8,200
313,1,1,300
314,2,2,400
315,3,3,500
316,4,4,100
317,1,5,200
318,2,6,300
319,3,7,400
320,4,8,500
321,1,1,100
322,2,2,200
323,3,3,300
324,4,4,400
325,1,5,500
326,2,6,100
327,3,7,200
328,4,8,300
329,1,1,400
330,2,2,500
331,3,3,100
332,4,4,200
333,1,5,300
334,2,6,400
335,3,7,500
336,4,8,100
337,1,1,200
338,2,2,300
339,3,3,400
340,4,4,500
341,1,5,100
342,2,6,200
343,3,7,300
344,4,8,400
345,1,1,500
346,2,2,100
347,3,3,200
348,4,4,300
349,1,5,400
350,2,6,500
351,3,7,100
352,4,8,200
353,1,1,300
354,2,2,400
355,3,3,500
356,4,4,100
357,1,5,200
358,2,6,300
359,3,7,400
360,4,8,500
361,1,1,100
362,2,2,200
363,3,3,300
364,4,4,400
365,1,5,500
366,2,6,100
367,3,7,200
368,4,8,300
369,1,1,400
370,2,2,500
371,3,3,100
372,4,4,200
373,1,5,300
374,2,6,400
375,3,7,500
376,4,8,100
377,1,1,200
378,2,2,300
379,3,3,400
380,4,4,500
381,1,5,100
382,2,6,200
383,3,7,300
384,4,8,400
385,1,1,500
386,2,2,100
387,3,3,200
388,4,4,300
389,1,5,400
390,2,6,500
391,3,7,100
392,4,8,200
393,1,1,300
394,2,2,400
395,3,3,500
396,4,4,100
397,1,5,200
398,2,6,300
399,3,7,400
400,4,8,500
